gzfdg,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
10000,101.105941,33.51386239,10.30922801,6.951,6.951,6.951,6.951,6.951,6.951,6.951
15000,129.1165967,74.78436836,33.51386239,13.14627233,8.453105,6.951,6.951,6.951,6.951,6.951
20000,143.1100768,101.105941,60.2427849,33.51386239,16.5050975,10.30922801,7.70555715,6.951,6.951,6.951
25000,150.9001941,117.4931264,85.4162214,55.74831118,33.51386239,18.90684366,11.6715805,8.530633,7.4571172,6.951
30000,156.1187851,129.1165967,101.105941,74.78436836,50.70986821,33.51386239,21.07754927,13.14627233,10.30922801,8.453105
35000,160.4308009,137.1708873,112.8663306,90.16689634,66.90672432,48.99331625,33.51386239,21.87123316,15.16111469,10.774025
40000,163.7011826,143.1100768,121.4452863,101.105941,81.92976156,60.2427849,46.4813541,33.51386239,24.37520566,16.5050975
45000,166.2446397,147.4909762,129.1165967,110.2791776,92.52788362,74.78436836,58.54567623,45.47547502,33.51386239,25.11029008
50000,168.2235281,150.9001941,134.5338273,117.4931264,101.105941,85.4162214,68.92251282,55.74831118,44.05632791,33.51386239
55000,169.7885008,153.8754138,139.4020915,123.8404449,108.6869849,93.86260512,80.03295822,65.89498077,53.54468807,43.38874298
60000,171.1918559,156.1187851,143.1100768,129.1165967,114.7589084,101.105941,87.70762049,74.78436836,60.2427849,50.70986821
65000,172.5061208,158.4290742,146.4445288,133.6153886,120.1779381,107.2455257,95.09951196,82.42661079,70.50973694,60.21011099
70000,173.5669257,160.4308009,148.9717326,137.1708873,124.9531495,112.8663306,101.105941,90.16689634,78.82893211,66.90672432
75000,174.5936793,162.230262,150.9001941,140.4768899,129.1165967,117.4931264,106.5591302,96.68601905,85.4162214,74.78436836
80000,175.4404037,163.7011826,152.8224212,143.1100768,132.7953805,121.4452863,111.664669,101.105941,91.83393587,81.92976156
85000,176.1140929,164.8951667,154.7444629,145.6260099,136.1716844,125.5413407,115.7325507,105.7438211,97.07972825,87.27196151
90000,176.8838761,166.2446397,156.1187851,147.4909762,138.920241,129.1165967,118.6318698,110.2791776,101.105941,92.52788362
95000,177.5119088,167.2708361,157.5233662,149.4007527,141.1570732,131.806814,123.008477,113.3980051,105.343035,97.19380615
100000,178.0903364,168.2235281,159.0846629,150.9001941,143.1100768,134.5338273,125.7887075,117.4931264,108.9383778,101.105941
