"2014-6-2 12:00", -40, -22
"2014-6-13 12:00", -46, -20
"2014-6-20 12:00", -52, -21
"2014-6-27 12:00", -54, -24
"2014-7-4 12:00", -56, -21
"2014-7-11 12:00", -43, -16
"2014-7-16 12:00", -50, -16
"2014-7-23 12:00", -48, -15
"2014-7-31 12:00", -27, -31
"2014-8-8 12:00", -43, -13
"2014-8-15 12:00", -40, -16
"2014-8-21 12:00", -31, -33
"2014-8-29 12:00", -22, -36
"2014-9-2 12:00", -25, -36
"2014-9-8 12:00", -38, -36
"2014-9-13 12:00", -43, -26
"2014-9-16 12:00", -46, -16
"2014-9-22 12:00", -48, -21
"2014-9-29 12:00", -45, -21
"2014-10-6 12:00", -48, -19
"2014-10-16 12:00", -30, -19
"2014-10-23 12:00", -16, -34
"2014-10-28 12:00", -22, -34
"2014-11-5 12:00", -10, -33
"2014-11-11 12:00", -23, -33
"2014-11-18 12:00", -6, -14
