"2-6-2014", -40, -22
"13-6-2014", -46, -20
"20-6-2014", -52, -21
"27-6-2014", -54, -24
"4-7-2014", -56, -21
"11-7-2014", -43, -16
"16-7-2014", -50, -16
"23-7-2014", -48, -15
"31-7-2014", -27, -31
"8-8-2014", -43, -13
"15-8-2014", -40, -16
"21-8-2014", -31, -33
"29-8-2014", -22, -36
"2-9-2014", -25, -36
"8-9-2014", -38, -36
"13-9-2014", -43, -26
"16-9-2014", -46, -16
"22-9-2014", -48, -21
"29-9-2014", -45, -21
"6-10-2014", -48, -19
"16-10-2014", -30, -19
"23-10-2014", -16, -34
"28-10-2014", -22, -34
"5-11-2014", -10, -33
"11-11-2014", -23, -33
"18-11-2014", -6, -14
