"2014-6-2", -40, -22
"2014-6-13", -46, -20
"2014-6-20", -52, -21
"2014-6-27", -54, -24
"2014-7-4", -56, -21
"2014-7-11", -43, -16
"2014-7-16", -50, -16
"2014-7-23", -48, -15
"2014-7-31", -27, -31
"2014-8-8", -43, -13
"2014-8-15", -40, -16
"2014-8-21", -31, -33
"2014-8-29", -22, -36
"2014-9-2", -25, -36
"2014-9-8", -38, -36
"2014-9-13", -43, -26
"2014-9-16", -46, -16
"2014-9-22", -48, -21
"2014-9-29", -45, -21
"2014-10-6", -48, -19
"2014-10-16", -30, -19
"2014-10-23", -16, -34
"2014-10-28", -22, -34
"2014-11-5", -10, -33
"2014-11-11", -23, -33
"2014-11-18", -6, -14
