Code,Type,Datum,X,Y,Z (MV),Z (PB),PB-mv,Boormeester,Opmerking,Naam,Van,Tot,Datum,Materiaal,Doorloop,Werkwater,Ec,Hoogte buis,Lengte,Diameter,Opmerking,Grind,Bentoniet,GWS,Diver,Type,Diver (cm-pb),Diver (cm-mv),aangemaakt,Gewijzigd
G-PB10,peilbuis met 1 filter,4/10/2014,428214.383,125511.812,-0.105,-0.247,0.14,D de Vries, 1 foto,Filter,1.2,2.2,4/15/2014,PVC,matig,,,-0.1,,32,,0.40 - 2.20,0.20 - 0.40,0.84,S2715,TD,200,214.20,5/26/2014 10:25,5/26/2014 10:25
MW-PB13,peilbuis met 1 filter,4/14/2014,438002.987,119684.63,-0.876,-0.995,0.12,D de Vries, 1 foto,Filter,0.6,1.6,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.60,0.20 - 0.40,0.25,S2726,TD,130,141.90,5/26/2014 10:25,5/26/2014 10:25
MW-PB02,peilbuis met 1 filter,4/8/2014,433673.845,106730.891,-1.124,-1.259,0.14,D de Vries, 1 foto,Filter,1.1,2.1,4/24/2014,PVC,matig,,,-0.1,,32,,0.70 - 2.10,0.50 - 0.70,0.48,S2740,TD,190,203.50,5/26/2014 10:25,5/26/2014 10:25
MW-PB14,peilbuis met 1 filter,4/29/2014,432335.582,116004.447,-1.144,-1.278,0.13,D de Vries, 1 foto,Filter,0.8,1.8,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.80,0.20 - 0.40,0.56,S2779,TD,150,163.40,5/26/2014 10:25,5/26/2014 10:25
G-PB14,peilbuis met 1 filter,4/8/2014,428594.074,126562.242,0.003,-0.132,0.14,D de Vries, 1 foto,Filter,1,2,4/24/2014,PVC,matig,,,-0.1,,32,,0.70 - 2.00,0.50 - 0.70,0.29,S2835,TD,170,183.50,5/26/2014 10:25,5/26/2014 10:25
G-PB15,peilbuis met 1 filter,4/11/2014,429103.896,127600.634,0.739,0.601,0.14,D de Vries, 1 foto,Filter,1.5,2.5,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 2.50,0.20 - 0.40,1.15,S2850,TD,220,233.80,5/26/2014 10:25,5/26/2014 10:25
G-PB13,peilbuis met 1 filter,4/8/2014,426559.976,128892.216,0.201,0.08,0.12,D de Vries, 1 foto,Filter,1,2,4/24/2014,PVC,matig,,,-0.1,,32,,0.70 - 2.00,0.50 - 0.70,0.87,S2864,TD,170,182.10,5/26/2014 10:25,5/26/2014 10:25
MW-PB06,peilbuis met 1 filter,4/29/2014,431721.145,113242.605,-1.121,-1.318,0.20,D de Vries, 1 foto,Filter,0.8,1.8,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.80,0.20 - 0.40,0.76,S2870,TD,140,159.70,5/26/2014 10:25,5/26/2014 10:25
MW-PB10,peilbuis met 1 filter,4/14/2014,437413.648,116392.173,-0.817,-0.925,0.11,D de Vries, 1 foto,Filter,1.4,2.4,4/24/2014,PVC,matig,,,-0.1,,32,,1.20 - 2.40,1.00 - 1.20,0.38,S2876,TD,210,220.80,5/26/2014 10:25,5/26/2014 10:25
MW-PB07,peilbuis met 1 filter,4/14/2014,433488.911,103028.323,2.225,-0.103,2.33,D de Vries, 1 foto,Filter,1.1,2.1,4/23/2014,PVC,matig,,,-0.1,,32,,0.40 - 2.10,0.20 - 0.40,0.92,S2878,TD,180,412.80,5/26/2014 10:25,5/26/2014 10:25
G-PB12,peilbuis met 1 filter,4/8/2014,427645.833,125084.785,-0.148,-0.281,0.13,D de Vries, 1 foto,Filter,1,2,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 2.00,0.20 - 0.40,1.36,S2886,TD,170,183.30,5/26/2014 10:25,5/26/2014 10:25
MW-PB16,peilbuis met 1 filter,4/29/2014,430043.446,107869.416,-1.288,-1.376,0.09,D de Vries, 1 foto,Filter,0.8,1.8,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.80,0.20 - 0.40,0.31,S2892,TD,150,158.80,5/26/2014 10:25,5/26/2014 10:25
